inf0,ylag0,inf1,ylag1
0.35048917577521677,0.8740517710930702,0.36077802277680926,0.8819962140069928
0.3273879423103256,0.47332807334290067,0.34945754297686277,0.48108794469935523
0.32863747538609933,0.5520045323108238,0.3662081495468664,0.5273434167776405
0.30542738260980906,0.639518564549133,0.2831023503796154,0.614040678586731
0.3749285435475555,0.6198365563759112,0.3867836393379268,0.6210869306440137
0.32071104354639374,0.6444813254409232,0.316122273902248,0.6175247492007495
0.33775120917373336,0.6630598349242871,0.308465289142348,0.657809019554737
0.3118993832169044,0.860502549963917,0.35990712707964834,0.8557555272034847
0.3189595480830144,0.6372125663790608,0.3002321310689886,0.6433703607450967
0.3160933037184129,0.7581200551841474,0.3031985431894032,0.7577944067751101
0.32926489062815933,0.7252480783939306,0.2274972656269259,0.7285846969772514
0.31590019198840646,0.7583006581296658,0.2604709624119672,0.7709722260546567
0.3365280601621847,0.7068075115555367,0.2946195229555531,0.7233226505568334
0.33846262596231524,0.7990583363454904,0.28655432282694837,0.8316445130908411
0.3136774430175983,0.6217971972937029,0.3301348724257479,0.62294867281943
0.334547521617511,0.6183389857382742,0.3129129566644596,0.6118020198166366
0.3214286180649472,0.8198181751992141,0.3158702380232444,0.7849874497278647
0.30814528312059963,0.6744651796072962,0.29109347121932255,0.6506748125194699
0.30745635688595424,0.6887700586857264,0.2836591956179324,0.6888080008307675
0.31454310289735116,0.545390048894544,0.31588241657233324,0.5399115535431701
0.3368678080675247,0.6750894556721515,0.2646361085942678,0.6818385958953576
0.3446258693252725,0.7949174061146462,0.29827589411402006,0.7516486804576228
0.31169103066158566,0.5080132256710472,0.2802578240536393,0.4995485434698992
0.32002059687526946,0.640480449759806,0.28741589761207725,0.6023622380516472
0.3509750076334275,0.4601746493376867,0.3502352161979611,0.47461450476849865
0.29032569414160087,0.7543715129265972,0.2542014774580577,0.7787850930997054
0.3153445542482435,0.7601391563166612,0.25563636000271983,0.7912433210192353
0.33565411513881827,0.754423488444555,0.33830767121391286,0.7415369217602046
0.37572290055107543,0.613299487449289,0.3712185465428594,0.6052072861358011
0.37707244664168027,0.9083564001643604,0.25213403962740355,0.8711104002951109
0.28420636967338353,0.6313113555813288,0.234409063507615,0.6118460151103884
0.35817095393428533,0.7680048862449507,0.29542492475086685,0.7283196830861411
0.3357880117631875,0.750056961932779,0.30089013859612296,0.7232150342833261
0.34509808683982013,0.8796080229273557,0.3212285261382325,0.9044929403837989
0.3348905611089407,0.7296931934667261,0.34650247696514647,0.7243048766031154
0.3000983082475832,0.7226376199102954,0.2783237388915013,0.6692857142939692
0.35868966678971087,0.5938404198198404,0.25417908021030644,0.6354638315733064
0.3000441721254242,0.5031701964574327,0.2912574279360254,0.47149127769842947
0.3113665271780179,0.6037547482441444,0.2890960328826446,0.6095322816008519
0.32157910236283216,0.6660402068976619,0.2893866931523312,0.6810124771490722
0.36646732001891086,0.6083717304431804,0.2885610976663847,0.5962764906664118
0.3149306088725922,0.6724418869059158,0.29395725755014585,0.6812373797828497
0.33415571743144457,0.5988251323953965,0.323424828177006,0.6112569593085587
0.31159950760420446,0.8172445607982891,0.2924958711526835,0.8026098067480371
0.335441454075289,0.7775526499698493,0.3195286230340632,0.7828037064789815
0.34103365722484036,0.894819461671136,0.3081658871284165,0.9395679957680507
0.34429804887728926,0.6666723394942492,0.30002885264706425,0.6649636864567379
0.36948441756172357,0.8124822314048785,0.3919181621588697,0.7962542392043446
0.31607712011344746,0.7562459226572147,0.3092900187787865,0.7365061031484572
0.35403327091172504,0.6260098024156555,0.3017956771662632,0.6283360789493463
0.3213892308914339,0.7928076788036227,0.2665494572080652,0.8224305319866283
