Id,gender,cluster,age,t0,t1,t2,t3,t4,t5,t6,t7,y
0,0,0,18,0.311892559,0.936123509,0.702294263,0.00215979,0.952264898,0.479346151,0.743202618,0.647394475,0.058155844
1,0,1,19,0.071344996,0.022059794,0.191991228,0.186813848,0.996553985,0.887306273,0.309443127,0.280194317,0.467941903
2,0,2,19,0.576424978,0.526413163,0.916342448,0.846698113,0.978196218,0.376092993,0.659673602,0.917588996,0.819935293
3,0,0,20,0.990550673,0.900711653,0.369262474,0.735018628,0.914637515,0.774778395,0.994465624,0.28616682,0.180523136
4,0,1,20,0.088904585,0.096493976,0.263978047,0.66109602,0.470865111,0.645929088,0.81119313,0.007551968,0.330606447
5,0,2,20,0.440269881,0.079277025,0.936520343,0.287831845,0.224135588,0.24518799,0.104920323,0.888293684,0.971956954
6,0,0,21,0.782393767,0.205048051,0.766023766,0.892883646,0.088955969,0.64586415,0.292342746,0.869907304,0.55966622
7,0,1,21,0.720623331,0.550093232,0.903181217,0.528337009,0.691259244,0.234695769,0.85164587,0.96159579,0.988736163
8,0,2,21,0.041502397,0.257160499,0.468244456,0.452537768,0.930298625,0.22732657,0.557330007,0.642782016,0.750028914
9,0,0,21,0.487290271,0.044978074,0.122390313,0.539087783,0.440523409,0.41924552,0.923034781,0.221760942,0.835224064
10,0,1,21,0.363172671,0.319646909,0.767854654,0.999903842,0.997388838,0.510836351,0.626072083,0.372871656,0.054953014
11,0,2,22,0.84646298,0.591080188,0.289268764,0.940515134,0.826143225,0.019673704,0.794209423,0.765139515,0.235972908
12,0,0,22,0.01624237,0.079734183,0.984097355,0.70852722,0.314102825,0.099894099,0.935215184,0.218705605,0.753667114
13,0,1,22,0.192000416,0.651944001,0.335224643,0.393278862,0.004070812,0.082926007,0.298306074,0.09674032,0.164245569
14,0,2,22,0.092210797,0.21415619,0.220916242,0.699263323,0.238987042,0.201235432,0.290185898,0.97577917,0.942761358
15,0,0,22,0.085024619,0.21866004,0.238765583,0.499780087,0.14597756,0.519470498,0.461638642,0.860717543,0.800435492
16,0,1,22,0.260036932,0.506603303,0.933701354,0.431050189,0.906074717,0.624392772,0.310845725,0.809509511,0.487406551
17,0,2,23,0.161976454,0.633175326,0.290231528,0.698096579,0.149550918,0.536517293,0.658131161,0.172297495,0.668180236
18,0,0,23,0.374888806,0.125398684,0.707188387,0.733849922,0.924558605,0.478533756,0.549340761,0.87783408,0.63120408
19,0,1,23,0.884249556,0.282566753,0.689972969,0.757664986,0.68540439,0.111658922,0.065684779,0.978251461,0.584796373
20,0,2,23,0.103957679,0.848718845,0.65623163,0.330468566,0.016393498,0.704113545,0.633611698,0.346463454,0.463315944
21,0,0,23,0.494819389,0.049628404,0.439755159,0.613060842,0.423861375,0.63361239,0.324650882,0.59111219,0.198460081
22,0,1,23,0.581017082,0.398459524,0.974334676,0.469352683,0.899153585,0.453044016,0.166189161,0.178176291,0.347382778
23,0,2,24,0.438222085,0.966724529,0.162864621,0.873440588,0.855994284,0.682270078,0.766566745,0.088983037,0.574116797
24,0,0,24,0.129614236,0.431738221,0.64656102,0.6548739,0.199475955,0.529944885,0.526941897,0.44750033,0.428767084
25,0,1,24,0.89231258,0.981700652,0.808147056,0.479856598,0.949628855,0.839246949,0.398509735,0.65928642,0.792569363
26,0,2,24,0.596971168,0.67283202,0.653411501,0.928588157,0.026040784,0.230819646,0.184386485,0.551186886,0.680105276
27,0,0,24,0.543090265,0.630204048,0.9043845,0.93493911,0.542702214,0.485061774,0.023852259,0.06960033,0.789760565
28,0,1,25,0.092096629,0.782950202,0.958169865,0.80844101,0.621077237,0.369039977,0.903255662,0.49031568,0.928602281
29,0,2,25,0.974066305,0.29499314,0.910139788,0.872632744,0.914479472,0.349719012,0.448621861,0.979437486,0.510812911
30,0,0,25,0.188731128,0.528632519,0.017478296,0.96588896,0.642886556,0.296006679,0.975196807,0.964560271,0.214174218
31,0,1,25,0.488693513,0.198224953,0.494508501,0.231145789,0.55404565,0.936593149,0.848606788,0.379213617,0.639799123
32,0,2,25,0.434582523,0.626500986,0.059920424,0.759328766,0.862116846,0.722250629,0.58733415,0.211658106,0.694707646
33,0,0,26,0.38823252,0.821586117,0.319397454,0.257515912,0.734074999,0.530472051,0.060276175,0.251930675,0.440836674
34,0,1,26,0.417565921,0.43869169,0.930768288,0.113227469,0.492901992,0.456948201,0.194112776,0.90783229,0.138169425
35,0,2,26,0.525075222,0.691948992,0.295337333,0.685191198,0.854201101,0.014003836,0.171117392,0.275120923,0.341241174
36,0,0,26,0.270348831,0.289688086,0.177570189,0.884409119,0.646846756,0.348460381,0.92918213,0.565677747,0.72722403
37,0,1,27,0.286904391,0.125211538,0.732971365,0.173453405,0.439181289,0.645017177,0.395168992,0.547114074,0.904832673
38,0,2,27,0.923049267,0.984161553,0.811717997,0.793295035,0.931901392,0.279900381,0.515243931,0.70634122,0.859684071
39,0,0,27,0.784686905,0.596136209,0.168562143,0.649032768,0.086698743,0.282457885,0.411122089,0.339482904,0.559767596
40,0,1,27,0.593962623,0.10007302,0.954110862,0.620327759,0.255302722,0.957641937,0.73199112,0.567210236,0.460468151
41,0,2,28,0.117552483,0.779172131,0.51922597,0.489162343,0.777579085,0.977429293,0.01791282,0.828563621,0.840824611
42,0,0,28,0.093438773,0.533031699,0.175845238,0.664136026,0.327137226,0.917549123,0.486751787,0.72551238,0.081816668
43,0,1,28,0.854289745,0.038627727,0.160332629,0.538796377,0.254466388,0.889373395,0.699436432,0.99951893,0.890336628
44,0,2,29,0.630960753,0.92063097,0.566118676,0.554969946,0.254026162,0.978932069,0.041420097,0.507732554,0.172594669
45,0,0,29,0.463863625,0.852577092,0.013748481,0.551748952,0.158540427,0.754237926,0.202786777,0.634198638,0.705244483
46,0,1,30,0.943058975,0.976254728,0.198119172,0.073388362,0.413454698,0.62387085,0.14092141,0.264697293,0.359713037
47,0,2,30,0.02501421,0.019275843,0.38147187,0.410203821,0.652278928,0.479844999,0.732169617,0.394741872,0.105966101
48,0,0,31,0.662510243,0.195470597,0.352490271,0.657057491,0.662073057,0.208742756,0.536782758,0.181116926,0.181238735
49,0,1,32,0.576619889,0.366971437,0.226166969,0.218967586,0.942308219,0.797960389,0.966383354,0.575510375,0.476679335
50,1,2,18,0.994225304,0.271157408,0.043637762,0.737992448,0.034058896,0.353931691,0.378475297,0.10951785,0.579752913
51,1,0,19,6.58E-05,0.810440424,0.481338632,0.919601145,0.668171981,0.826026935,0.989276853,0.695671033,0.610736665
52,1,1,19,0.676998558,0.470881226,0.600446533,0.976129274,0.27542782,0.586814464,0.524062808,0.927064447,0.117185179
53,1,2,20,0.323704697,0.540006072,0.43002958,0.333297842,0.409408136,0.27090307,0.059403652,0.570968216,0.193407062
54,1,0,20,0.147563466,0.966689127,0.708759055,0.271927598,0.054986624,0.633636574,0.120838943,0.776633208,0.425186974
55,1,1,20,0.483782353,0.44660987,0.582358947,0.733473299,0.775384644,0.684402659,0.434541927,0.848901353,0.750417998
56,1,2,21,0.173641211,0.972548061,0.421103716,0.009919055,0.387431035,0.267790266,0.051532852,0.964027609,0.800119465
57,1,0,21,0.369982673,0.873329931,0.046861419,0.707114474,0.901470812,0.047676644,0.15296235,0.035792633,0.886753839
58,1,1,21,0.16145332,0.412910444,0.699336384,0.463391916,0.086856182,0.297646948,0.286027112,0.681346776,0.035283221
59,1,2,21,0.818509235,0.9918081,0.402143812,0.965062366,0.472960992,0.93958906,0.067572139,0.159271889,0.76385266
60,1,0,21,0.759008584,0.42403445,0.974789461,0.480314079,0.720116014,0.886946244,0.9661964,0.568977106,0.128002606
61,1,1,22,0.009258037,0.822657211,0.624152238,0.430385107,0.958303309,0.960552873,0.952819465,0.987939248,0.206505217
62,1,2,22,0.444163741,0.892917725,0.974707641,0.469705692,0.608253141,0.758151966,0.596894231,0.34442497,0.683724575
63,1,0,22,0.076815251,0.482373419,0.390876742,0.73863671,0.569216159,0.275384321,0.980940836,0.143250449,0.3399301
64,1,1,22,0.187378148,0.976731841,0.104405995,0.517289018,0.539628413,0.912955268,0.197159296,0.885227932,0.165852795
65,1,2,22,0.701184822,0.483018716,0.244857484,0.35738717,0.489181431,0.297462551,0.609280007,0.944223526,0.112910545
66,1,0,22,0.443053081,0.498503838,0.078868186,0.725546819,0.624931167,0.835141764,0.385014439,0.344410464,0.22869585
67,1,1,23,0.395739981,0.644456406,0.043743235,0.211830525,0.5090251,0.022912149,0.126552641,0.781746407,0.347822155
68,1,2,23,0.304955809,0.800107769,0.750857369,0.101496238,0.631181915,0.588923214,0.852409017,0.299761976,0.12227136
69,1,0,23,0.075452773,0.226376716,0.871703937,0.849498172,0.641652577,0.081753875,0.954087777,0.441648804,0.409587497
70,1,1,23,0.643988956,0.319828991,0.173110485,0.674257236,0.452302869,0.732449795,0.195851701,0.919664515,0.538580043
71,1,2,23,0.154853055,0.039745128,0.904559708,0.288522675,0.203137642,0.738542555,0.298213879,0.945957582,0.768598074
72,1,0,23,0.070267134,0.678768056,0.647662441,0.365283859,0.270535046,0.710761884,0.669918156,0.844138989,0.900238442
73,1,1,24,0.275697997,0.10946396,0.054871035,0.609886009,0.48613779,0.24889665,0.700822131,0.41904137,0.601086314
