z,y0,y1,influence_true,x
0.45805494822409054,0.03492186204481488,-0.05983555411897318,0.3125,0.37054003744224584
0.30834960696491165,-0.24847661520365358,0.0025194818065310404,0.3333333333333333,0.4955259009204922
0.23148704503556228,-0.4579766615929239,-0.09184275126193389,0.625,0.3815431008279665
0.2774245517561259,-0.23965297394459864,0.09428131407088297,0.7272727272727273,0.03226078537495891
0.8172348119026699,0.16984981442712055,0.37141241338294145,0.5833333333333334,0.45094049715102946
0.11134663609249817,-0.14199726030190885,0.21044172163265146,0.23076923076923078,0.9483645146660354
0.6264372289542525,-0.0258392871237833,0.618366019897402,0.4375,0.40057938004872184
0.2767878866365143,-0.11901150119068737,0.4478997089071033,0.42857142857142855,0.979690131035702
0.6821746741884953,0.2508453764497648,0.4448423090583083,0.45,0.5787713308078062
0.678970783910743,0.0008617990549063537,0.654345578266606,0.6111111111111112,0.7482378502531969
0.7967174185877428,0.35288905309564067,0.7966349699898101,0.6,0.22893557389823438
0.04580216252273306,-0.040528843480479027,-0.0009335735602770401,0.5,0.8771427716127425
0.9125982744103684,-0.004727663509801749,0.3852398859910112,0.5,0.47035133889465375
0.21381598633706667,-0.03358923938292925,0.16123316397447512,0.3076923076923077,0.524013970476806
0.3036373012725162,-0.18152332765699528,0.24501189931206083,0.375,0.930065270422848
0.9890636234503387,0.07627997943664158,0.5168588944689426,0.2,0.018532760954094618
0.18588150292112893,-0.12917952259197651,0.0012895737235653348,0.4117647058823529,0.3875188499727136
0.9887248354111614,-0.09906912146759442,0.5743389499511565,0.6666666666666666,0.011428469478960368
0.7500842313719652,0.1400224389803847,0.5635994766132442,0.47368421052631576,0.3203095187462669
0.222386045114342,-0.32354992301715396,0.20333748449723044,0.2,0.8666504395882774
0.14790390832973144,-0.0843388994804172,0.40578885514774615,0.375,0.958186967842235
0.5157902751114601,0.10593004659900067,0.39159161171030626,0.46153846153846156,0.3213813256700041
0.39425831857346916,-0.480344145774578,-0.01921674396297167,0.375,0.6731088771363121
0.06988012537220922,0.18445070692550172,0.3268342099659543,0.2631578947368421,0.6836481250062122
0.3382257701939704,0.2497306877197234,0.38297331063966705,0.36363636363636365,0.6912147767614077
0.011037221290141064,-0.15244031383121026,0.14362924317430936,0.2727272727272727,0.45680970286049294
0.7675278580610183,0.13023359962800568,0.2139077380382879,0.3333333333333333,0.89790277613829
