0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.14551698,-0.47596627,-0.52243936,0.035630323,0.12383195,0.3638817,0.11595616,-0.03615237,0.047081098,-0.16336282,0.22745414,-0.14993913,-0.40757602,-0.00058635324,-0.42775124,0.07810654
0.008099508,-0.30372512,-0.2975943,-0.02547331,0.07557845,0.24857122,0.120523006,0.046838522,0.04474485,-0.13261665,0.13438402,-0.034212485,-0.26866424,0.043207087,-0.2573127,0.07271992
-0.052410163,0.048077576,0.0859427,-0.037514333,-0.108213365,-0.056713745,0.14836884,0.069306865,0.039666012,0.0030113608,-0.009678975,0.069850914,0.108073756,0.030307278,0.08577915,-0.06486395
-0.0033748895,-0.08493741,-0.063656114,-0.032157257,-0.035100892,0.08391442,0.13873637,0.034049064,0.025611013,-0.036169104,0.04519251,0.020362891,-0.05504533,0.00788556,-0.05181963,-0.01350018
-0.0511726,-0.13366923,-0.12595434,-0.031994827,-0.019971196,0.090747416,0.16255897,0.09520717,0.09632887,-0.07042978,0.03154914,0.04692892,-0.064786926,0.05661715,-0.07371047,0.026319478
-0.04331527,-0.12771523,-0.11355181,-0.012620525,-0.036597192,0.07674979,0.22167826,0.11921577,0.08874051,-0.031722106,-0.011396199,0.053352736,-0.02121175,0.08306717,-0.09799402,0.015649822
0.08389712,-0.421736,-0.4577633,0.011005091,0.12500887,0.36310315,0.15275857,0.0004684478,0.051058903,-0.14284912,0.17799208,-0.104663044,-0.3869926,0.025238693,-0.4035197,0.10100682
-0.016937947,-0.097328775,-0.05631983,-0.0002809856,-0.03891853,0.03694514,0.17954326,0.045891806,0.041365474,-0.018387176,0.013760343,0.02234228,-0.018379115,0.041741572,-0.062895864,-0.021029653
-0.06704045,0.2068617,0.1843145,-0.08555447,-0.0744731,-0.0075181723,0.0149656385,-0.0538944,-0.1373607,-0.014977694,0.02421698,0.0736089,0.022954881,-0.06362494,0.17415257,-0.05703328
-0.06188371,0.03274414,0.042502508,-0.079275884,-0.039394125,0.03831295,0.06800495,0.021399617,-0.041895248,-0.052073516,0.042245552,0.048677184,-0.035434574,-0.002657041,0.030738417,-0.021146838
-0.1315708,0.5712274,0.6129078,-0.093398236,-0.33856043,-0.44085175,0.1326929,0.060455963,-0.07239093,0.19203302,-0.2023058,0.20921499,0.5702816,-0.019921415,0.5451418,-0.23892772
0.10341738,-0.51620656,-0.5880503,0.023753764,0.2158719,0.50907564,0.11386466,-0.0644453,-0.0013398677,-0.19169348,0.25610042,-0.15407804,-0.5627738,0.005081795,-0.5121779,0.16748317
