inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3
1.1406044349610798,1.26790116070723,0.7752738927472016,1.1868919266996363,0.9056602585011145,1.2026805899621413,1.136893938951109,1.2694538383058593
1.3705696886287533,0.9639494615873276,0.8757891745118285,0.835726280215878,1.0703703144831223,0.7921812998448823,1.4213162496219711,0.9492558443746206
1.2501286694307359,0.9872228758518449,1.1487575172105398,0.9710240616872061,0.999850344277986,0.9924033038759779,1.2735940298543973,0.9724404010840684
1.2350722820893436,1.127179498155416,1.0418034537185819,1.0832930751738385,1.400657794019525,1.1745203456581008,1.1571113685728551,1.1165499337319396
1.4686234459912137,1.212586392659939,1.5145966949379774,1.221956584388608,1.6490093608596488,1.2313956510613595,1.4845510311139434,1.2198162253524705
2.1494158046424645,1.1193527002573074,2.1265016935165764,1.1182524734720514,1.8561577531352302,1.0611371217879868,2.139358878297424,1.1254423698069767
1.326883293037982,1.2412533994703843,1.177112758417427,1.2114339966736345,1.5088656020451463,1.2486697529855584,1.2783805648870803,1.271700067474668
1.3347650676307823,1.255852829933644,1.2830485521913961,1.2502477604800977,1.3201108955942165,1.2630142401015605,1.2726373519878658,1.2588705296096068
2.0034757627470374,1.1819754735528565,1.9282290813723104,1.1468344152368262,1.6265096450407872,1.091289647214228,1.9153980505200585,1.1872697393322693
1.719939428531203,1.1831526503241125,1.2835279336818215,1.095840512230751,1.4174088435801813,1.058236119352498,1.6310846138854282,1.217196533396803
1.289971093857562,1.206482631253867,1.2201492094244173,1.179608766637106,1.2247507422146104,1.1946421511130474,1.2638064721175142,1.2190895614104158
1.5263532490593805,1.2114619159967153,1.28677289342478,1.0978213065598807,1.6495693321456757,1.2084013137082488,1.4663419124312327,1.221945536010637
1.2670559574977465,1.2126843269994523,1.1990213358583597,1.1830585881983482,0.8191114729706489,1.129622757469943,1.2844116276232347,1.2219262656943497
1.5081354463504224,1.3884829284447828,1.5698917355845219,1.381240935602527,1.3685988819800392,1.4410364474279067,1.4960670619632057,1.3969351056881298
1.0507273239608041,1.0639487831472771,0.8056628221823909,1.035787767166098,1.5903349497115702,1.1085296706949404,0.9896808290080346,1.072553055108436
1.5726539763142369,1.2078700998571634,1.0207447423556726,1.0395246852415827,1.1194884687607263,1.0975842355732053,1.5697022614018752,1.2068230444189534
1.5136485528143377,1.3161570194418082,1.3831605752803955,1.2747270091053708,1.1549123685721798,1.231230846623696,1.5245310795360998,1.2973234224418395
1.4809967759779108,1.1918247411275193,1.5197841850977927,1.1792749802131648,1.6108223152351766,1.1964259740312397,1.489073577186652,1.2393527800930109
2.017370274722228,1.1897030621178037,1.7911052126608369,1.173515878948419,1.6323454550417356,1.1215880147121577,2.0057023293632965,1.1663771704866823
1.247147550020637,1.0192948053462656,1.0822169702809594,0.9919336690598957,1.3381452818409332,1.0364593162338585,1.2401106919545453,1.0445318254184552
1.530313944945937,1.102595772863833,1.145540872424513,1.098972552243195,0.9065417161980258,1.0359821046383637,1.4808025394159259,1.1293477139399417
1.2585573148197593,1.3339421915481093,1.3687051338952387,1.3475137466876157,0.8371633776582429,1.321514335545804,1.236106643125313,1.3439523027817133
1.7539231219757945,1.0081623483433124,1.2191826472603497,0.8839134976742962,1.3010950162737425,0.8808661833470167,1.7432751158007103,0.9956860779048944
1.7128967488039128,1.1514419651869208,1.2153251944874681,1.0426008318403723,1.5597800215214273,1.021628049958062,1.7391763351156815,1.156818644383533
1.653560708455661,1.0519286568469783,1.4463963975306648,0.9384006648902479,1.6492914909560183,1.050848453446037,1.5441976181569192,1.0676111768862047
1.2044518179412917,1.16789067844699,1.1623968592585225,1.0979304361608908,0.8075573162565575,1.1399673636682253,1.2737599290451729,1.1662099785873008
1.1490249215723516,1.289792762201674,1.0334117788790103,1.2475112181936368,1.0661260533094619,1.2644299476753864,1.1605958263313587,1.2785806520859602
1.600736096895513,1.2025550747309182,1.5802457927222093,1.2091650622665124,0.9219586276545871,1.0824567395298805,1.6721206221951197,1.1961246286636755
1.9260084648515354,1.0700173404725226,1.9420499887740563,1.0821097173052956,1.8025764140664076,1.0651047688369484,1.8750231326091797,1.0623250018108088
1.7772119359546907,1.3758025551162838,1.30680533386189,1.2685491410345193,1.2304627706444415,1.199179304075493,1.7766328469356267,1.3739537295139432
1.3649346337879598,1.0610637932909726,1.4692780801248322,1.0802817840277465,1.2600502619850324,1.0560939249214831,1.3390774837055384,1.063319506601904
1.9467324577958318,1.3052555378728021,1.7232014610775217,1.2642857219978696,1.821575803060309,1.298215693666997,1.9284878646336476,1.2729919710179889
1.9516665065770962,1.1922145486709699,1.7567871868983063,1.121387537282043,2.1561535630255078,1.244520120900478,1.9214164654178216,1.1802859136044916
1.1568132870116,1.4676712616444596,0.9429053960867827,1.3836298688346973,1.2944212549173058,1.4859184002662247,1.1091927357822622,1.4515327635826565
1.3387522673272787,1.211940303189253,1.1055681051389246,1.16319787400053,1.342513717436995,1.1956095601724503,1.3165010389595935,1.2199308174950376
1.4217086055668728,1.1285386195368066,1.2165107377971467,1.1083183736570175,1.521980366694587,1.1612763179108057,1.3581423655405054,1.1559536662738719
