inf0,inf1,inf2,inf3,inf4,inf5,inf6,inf7,inf8,inf9
1.6222200819571553,1.1003055102082944,0.5937342423741349,0.35170208072846554,1.1790056774227948,0.7189209316898609,0.5226876048901441,0.5824320583724958,0.6137362404470278,0.5323243769583037
2.193559192990233,0.70858792038962,0.3410878537794222,0.5329749903612307,1.8155463210728011,1.2463050146162884,1.2459485271675892,0.5119701870925716,1.0117853947312965,0.509403720748308
2.6084320023348178,2.3098746122337346,2.7649562173186055,2.372662742965188,1.8907389467805726,2.1495440476344996,1.7671377520127964,1.569087305502193,1.501037765987973,1.596687440885995
1.4639762698511936,-0.269822837637578,-0.7282220279400873,-0.6703530289937232,1.5377644292547574,0.7284358637507243,0.7883065775118502,-0.2868920933437711,-0.20456860395168763,-0.2974601881550645
2.455522044705147,1.8769642539611584,1.7361327787178036,1.426028572429628,2.3744413369882116,2.170283803271692,1.9778454587488987,1.3982978664979315,1.3736739994129963,1.415063962523824
2.7931577705029076,2.084223949352979,1.7918491304813546,1.5197932645981096,3.0981789570192606,2.5562765434440555,2.2635906477862204,1.3543238662369639,1.661132173682829,1.366941651613825
2.859242079155946,2.036452404286394,2.2687523355233865,2.100288545175767,2.6696424780100774,2.407874317120022,2.585567891385859,1.5827540980138404,1.0719753486241395,1.971451952845098
1.2784280758779443,0.4962078949586522,-1.7103877007763821,-1.5974148302395976,0.48008599482151293,0.06948119781890127,0.023894087472664083,0.15841405389245689,0.4017709034072,-0.01897704632851485
2.9305416453584128,0.729925567725765,0.4732802130023265,0.47999494578775803,2.5334180562915427,2.0911434517117837,2.1584344679941863,1.2063906780984772,1.2822091085238412,1.2882435788190867
2.2227190168225275,1.8567497792190597,0.6327920389291368,0.591099916613365,2.264596104515036,1.8550870283430376,1.8144520434202716,0.9186612220290338,0.8034559805849972,1.1632226513940298
1.9388316925410118,-0.036727782923134944,-0.16965408746155997,0.28058091218848347,1.087210742036024,0.9071917946889487,1.1322557445673234,0.26485192876486563,0.38962332985840853,0.16583470978485404
2.7870378162038154,2.323003174253918,1.7844752791180323,1.680471974738731,2.505868286333346,2.3550855692040167,2.245501331698663,2.243880635032686,2.1647811607862137,2.2726061512188362
2.585110421688544,1.3103142423772671,1.0151095839774409,0.872751564517264,2.493995522193668,1.9787359192562404,1.9723355798489146,0.8566865208528508,1.3184894076184366,0.8407525128570978
2.2715189632997337,-0.2064770033061618,-0.6662766594341094,-0.5117867146875026,1.7368455812924988,1.1877341844391494,1.3370662372482431,-0.18875682999573562,-0.0646977137600937,-0.30837800771211876
