z,y0,y1,influence_0
1,0.19294702202444097,0.9156744470275759,0.7272727272727273
1,0.06579549501447506,0.9422959945982458,0.7
0,-0.1781051367694399,0.12794175117927653,0.17647058823529413
1,-0.05713096441033008,0.5501626534734785,0.9
0,-0.18008502796355247,0.12301779316599332,0.3333333333333333
1,-0.251409397791729,0.5054487653694648,0.8333333333333334
0,-0.1529199179944127,0.03049557652011951,0.30434782608695654
0,-0.16777662541537722,-0.12188126350330125,0.21739130434782608
1,0.4314535336120049,0.9833244249704026,0.8
0,-0.21843075531638706,0.22444104081442334,0.4117647058823529
1,0.0023292052404715047,0.5458524530928798,0.8333333333333334
0,-0.28109021088849256,-0.061887980345404776,0.2631578947368421
0,-0.39702204062600643,0.1601067894271806,0.25
1,0.39846417224719777,0.918434238764574,0.8666666666666667
1,0.17645183609287496,0.7274090801554052,0.7647058823529411
0,-0.026855142701531984,0.2873919427960422,0.2857142857142857
0,0.08679703214689874,0.20103298094334204,0.25
1,0.02633686203339712,0.6445710278221121,0.6923076923076923
0,-0.21106307765774,0.2822704273730955,0.21052631578947367
1,0.21536578971624937,0.6379931777152179,0.9090909090909091
0,-0.11376091223453694,0.08381710122578755,0.38095238095238093
0,-0.3411219443432185,-0.23445349677190533,0.2
0,-0.19154276504762388,-0.25307494106778516,0.4
0,-0.2605474257895498,-0.1982803250154964,0.3157894736842105
0,-0.09121526637927443,0.029604743955852362,0.2
1,-0.24446342062407003,0.27793475858902916,0.9090909090909091
0,0.06539201994726002,0.13623941547105703,0.23076923076923078
0,-0.3535791487252151,-0.16831628885337424,0.2631578947368421
0,-0.27016261985030143,0.04567069317113365,0.07142857142857142
0,-0.2393803463345496,-0.027134495020264784,0.15384615384615385
0,-0.1912563637399288,-0.05819821010913327,0.16666666666666666
0,-0.23099911434727308,-0.050338976187352315,0.25
0,-0.11641963671833087,0.011869269141785252,0.36363636363636365
1,0.07867433642594353,0.5717126815813967,0.625
1,0.5639403477950061,1.0383944923893997,0.6666666666666666
1,0.10412756624195263,0.5529066377024613,0.75
0,-0.09344438558472629,-0.21315833501217496,0.2777777777777778
0,-0.544841719876985,-0.34208202233814455,0.2222222222222222
1,0.13995296652632455,0.9005910197931981,0.8235294117647058
1,-0.01570435836876019,0.4945740166029735,0.7333333333333333
0,0.24569719008118865,-0.3390751044250128,0.05555555555555555
1,0.18782951187273672,0.823365032166075,0.5833333333333334
0,0.016112420221319312,0.06590725795819183,0.1111111111111111
1,0.4066565752180644,0.8632147717434595,0.7142857142857143
0,0.2574570354231146,0.2241678907487413,0.15
0,-0.5407917455239907,-0.06986326243523035,0.4375
0,-0.06899519780475033,0.3558887347342614,0.3333333333333333
0,-0.06031461918713524,0.02129648052046193,0.2608695652173913
0,0.07116127301078834,0.15176567326523843,0.25
1,0.0603591178523344,1.025361042604388,0.631578947368421
0,-0.2189049198826638,0.09774724736162563,0.21052631578947367
1,0.162415340367105,0.6456018529595597,0.9166666666666666
0,-0.015874762420592076,-0.19475105930080636,0.2
0,0.00011257074225007324,0.5885638807549054,0.3125
0,-0.5151132287515432,-0.6760782210507092,0.07142857142857142
0,-0.2502686001542236,0.11412578777436241,0.29411764705882354
1,0.1689618253299967,0.6645998717610366,0.7692307692307693
0,-0.22868861226548473,-0.0015278633217034182,0.21428571428571427
0,0.11459784292354899,0.4225541376231291,0.26666666666666666
1,0.26421499889875155,0.5620595372616662,0.9230769230769231
0,-0.25027657483446614,-0.10451660003608303,0.2
1,0.06476132629646655,0.9641369429237883,0.6923076923076923
