inf0,ylag0,inf1,ylag1,inf2,ylag2
0.7341318375843935,0.9196299574998943,0.5067320537714268,0.818545947028715,0.734685797224377,0.9321182890044555
0.7024675739033005,0.8636238833031895,0.5046582592543415,0.8198411370616434,0.6924647394682614,0.8489443978844726
0.8514735067803968,0.7348373430323426,0.5524720321009081,0.6853794895082351,0.8598127902490844,0.7331908179494424
0.8982645653722559,0.5085051495649566,0.4661994011296101,0.42180208458535007,0.9007413122674532,0.5432619487210517
0.9333655184675289,0.6856832898072648,0.4120147702725173,0.5094749566434404,0.9249153576281025,0.6770607310007002
1.0817561470233945,0.7496620492491175,0.8504672344171371,0.6506773332242144,1.0845538320633428,0.7498444394552883
0.9672111668245147,0.7579503155832723,0.37534671329707514,0.6043531015652304,0.9463948051273833,0.7668223230434297
0.6709573265458949,0.9563633864665557,0.28213991742464517,0.8809932745034055,0.7057798642029338,0.875269410952932
0.7427219828080001,0.982688943559525,0.19121519788993369,0.7483956387913987,0.7440538769100917,0.9685693609737138
0.9952070916859617,0.642458043773587,0.7113062664001522,0.5697090371527879,0.9871360036340947,0.6586234620602168
1.0387149587688627,0.8396139459083654,0.7953191239457877,0.7316129977899147,1.0400021998660436,0.8470245306938123
0.9562328520204293,0.7280305883803684,0.5491522379147805,0.6482615062574387,0.9556278107078223,0.7197144664481779
0.8906482975346293,0.8361651668537451,0.6301872793022346,0.7635884906086445,0.886060574717062,0.8357369157413611
0.927902480873094,0.8885045064040379,0.3861974340287687,0.6584066915656314,0.9213809097533563,0.8793942050044632
0.7162349645103969,0.8324556527902482,0.6257855572208121,0.7960820285391698,0.6741830931255052,0.8914404110157278
0.9848387709557156,0.8501375192433105,0.7551459372429301,0.7910512015647044,0.9291763469618797,0.8567985253104698
0.8770146923671562,0.8523417533018692,0.5877426485192954,0.7792912248188114,0.8996096259845323,0.8308627346483939
0.8380183922460636,0.8271214400683762,0.6476352421388865,0.7803252304713594,0.8548875757492249,0.8420258896246104
0.8619944769242318,0.9565288734396338,0.552651813856565,0.9922027058989387,0.8319219160153448,0.896094625205475
0.8520712074857045,0.6854124385125571,0.5571803710917598,0.6039042224989487,0.8255305956694952,0.7395635668262233
0.7650910288794776,0.8226227945741031,0.693241188942211,0.8200928507921823,0.7682830997723376,0.8209922938267831
0.8998211835844325,1.0012041636936444,0.6147584594034119,0.9058897889779762,0.9223609168685423,0.9714208847025871
0.9394377008065178,0.8808473005525791,0.6746559557986603,0.8269838980286595,0.9898679302691185,0.8709762563010466
0.9186744166890465,0.8572599950895093,0.5557542590504997,0.7964822599729136,0.9160877238875487,0.8634176301468601
0.8942670137726343,0.8607621288581595,0.6690400916162678,0.7705943932864987,0.9281424647074596,0.826015786407472
0.822269808435221,0.8942513866788414,0.722329978418613,0.8700618039129924,0.7994774193668761,0.8993901813248061
1.083286355243705,0.9186850996495367,0.7044487075471294,0.7507872256756162,1.0723374508531622,0.923307849993462
0.8771108900831011,0.8570744747124529,0.7172826864704885,0.8101847331858678,0.8799956321782336,0.8518431001394922
0.9072395607794321,0.9031308034249523,0.43776553196863754,0.7288137964829403,0.9170729417453627,0.9101285661042253
0.9752661807415444,0.8140906936942252,0.6008996656292172,0.7365771576209466,0.9907975683328007,0.7904679380556339
0.8456351010588989,0.8260629711667733,0.7737495703209342,0.7782386493747472,0.851507017212076,0.8224805481231567
0.9618697409972008,0.8995451377215626,0.4959992853066453,0.6356425932490921,0.9149410471841598,0.8623775737375192
0.9423345733646296,0.8797087716153664,0.5559108521917061,0.7254453853084107,0.9157001876444821,0.9185379950828743
0.7612230187482402,0.8981130180847674,0.214506794333038,0.6667515766747469,0.7654894647888212,0.9194787943042682
0.827972826865248,0.8746476550894786,0.6132744096643556,0.8184469487487054,0.8328483674157245,0.8438519528881865
0.6718786327035868,0.9227132802614584,0.2556984483494753,0.7381912842324742,0.6466357308196625,0.9581483738115361
0.9428518754045356,0.789090398358048,0.40785033308776364,0.5751696066264338,0.9658040547297926,0.7509980407391714
0.7766194016659181,0.8178932806066377,0.36575762759866415,0.74530079317916,0.783615780807834,0.8187297507251334
0.9090070176070085,0.9074975841972268,0.46164192445778257,0.6648675880858473,0.9188833743366593,0.9012341310939486
0.8315188375488174,0.8598052613612966,0.577973446682031,0.799167877449221,0.9041466455768605,0.8109243953754444
0.8350769184709402,0.8906792279790456,0.42929926286046094,0.7474283684653653,0.8450380233933458,0.8881535386401829
