0,1,2,3,4,5,6,7
0.027191106,0.01279144,-0.056925043,-0.021985382,0.035871323,0.042354114,-0.07973666,-0.04629868
0.031251963,0.037747666,-0.07808222,-0.04538393,0.032866586,0.04017303,-0.07901252,-0.04929406
0.02815907,0.025004402,-0.06747277,-0.03692928,0.03607253,0.04846861,-0.08532735,-0.053085487
0.04171769,0.056667224,-0.09041129,-0.05280888,0.034307655,0.03988987,-0.07816041,-0.046074282
0.02227081,0.0069883466,-0.052841663,-0.029650167,0.033176247,0.04102386,-0.079757325,-0.049140118
0.035749618,0.024539873,-0.06255485,-0.030174583,0.03664637,0.042127814,-0.07925456,-0.04418796
0.026697781,0.038340226,-0.07964215,-0.06075181,0.030608099,0.038944073,-0.07904301,-0.05076566
0.020337988,0.00027815998,-0.04878685,-0.016648069,0.03376609,0.037195135,-0.07605316,-0.04287489
0.0403565,0.040001526,-0.07440384,-0.043110326,0.035007425,0.04095137,-0.07892254,-0.045507565
0.028633293,0.045941994,-0.08630672,-0.06318839,0.032235716,0.04409123,-0.08293404,-0.05498154
0.026993763,0.0150197,-0.058918193,-0.026009306,0.03653473,0.047194522,-0.0839863,-0.05046566
0.02437142,0.012816668,-0.058102354,-0.027659312,0.03477498,0.045702975,-0.082980156,-0.05446292
0.03725001,0.03682433,-0.07399951,-0.037312716,0.03397157,0.035655163,-0.0746719,-0.039796248
0.0361518,0.06357078,-0.098780304,-0.07411,0.032379083,0.043463003,-0.08227131,-0.05409379
0.023653794,0.03427492,-0.07810189,-0.05564888,0.031157099,0.036230642,-0.07610613,-0.047743246
0.027854454,0.03141363,-0.07268217,-0.05068332,0.030967047,0.03684662,-0.076648444,-0.04954413
0.025889445,0.017134264,-0.05975081,-0.040996775,0.031406473,0.040894747,-0.080309376,-0.052871916
0.051004793,0.11273961,-0.1384153,-0.10157861,0.033770338,0.04281781,-0.08111503,-0.05047426
0.04188216,0.072471544,-0.104946494,-0.07145898,0.03350379,0.04069043,-0.07934946,-0.04786123
0.028891768,0.028335527,-0.069510326,-0.044281483,0.03103547,0.039380714,-0.07899819,-0.052213594
0.02322029,0.0240504,-0.069544524,-0.039603397,0.03478452,0.047473464,-0.085194774,-0.052777823
0.032840323,0.022826597,-0.06140624,-0.038862452,0.03456274,0.045542832,-0.083427854,-0.05138393
0.027258646,-0.002371803,-0.0424439,-0.0065265447,0.033010434,0.033713724,-0.073041864,-0.040882815
0.022364397,0.028181627,-0.07358554,-0.047099814,0.031223059,0.037564434,-0.07723241,-0.04972768
0.049434002,0.071428075,-0.100775346,-0.055847555,0.035328228,0.041366905,-0.07875311,-0.04811147
0.031105231,0.034957066,-0.075163886,-0.044929788,0.034251124,0.044554383,-0.08260411,-0.05106806
0.024859,0.017451495,-0.060808644,-0.041207716,0.031184712,0.03680234,-0.076460585,-0.049431928
0.039897542,0.0421526,-0.07724108,-0.042304114,0.03621607,0.04544114,-0.08232731,-0.050100047
0.0049719363,-0.035972193,-0.019574046,-0.016939208,0.029479435,0.035163194,-0.07563275,-0.05094986
0.026412655,0.024522617,-0.06765373,-0.040422812,0.032901675,0.040051237,-0.07889832,-0.048994962
0.02832063,0.03180574,-0.07210182,-0.0551147,0.03280611,0.042816207,-0.08157742,-0.051951423
0.035567086,0.033787504,-0.07159431,-0.038909093,0.03400775,0.043213326,-0.08121565,-0.05156518
0.03806139,0.05005987,-0.08525531,-0.055755943,0.03426658,0.042884283,-0.08102906,-0.049198307
0.02165446,-0.0034565479,-0.04443592,-0.011880666,0.034555312,0.046767008,-0.08474438,-0.051681913
0.031695176,0.031379417,-0.07099326,-0.04351139,0.03510171,0.040540133,-0.078514256,-0.04475814
0.037207913,0.0398079,-0.07586576,-0.04688725,0.03444907,0.03935641,-0.077449985,-0.046189755
0.023945164,0.01074411,-0.055862844,-0.029271334,0.03291801,0.040417843,-0.07927425,-0.049116842
0.04286388,0.051574364,-0.08588575,-0.040174484,0.035336703,0.039712653,-0.077633746,-0.043422915
0.043489736,0.054102108,-0.08603601,-0.05451268,0.034846086,0.035882235,-0.07396966,-0.04192512
0.024932917,0.033520535,-0.07561813,-0.06040466,0.03083341,0.038669173,-0.07839321,-0.051960412
0.025954764,0.027519718,-0.0691746,-0.054282486,0.032011382,0.043298833,-0.08239393,-0.053826645
0.042628314,0.05211337,-0.08435187,-0.05514443,0.033434264,0.038700618,-0.07737176,-0.04670199
0.022220086,-0.003536135,-0.042471796,-0.021450683,0.032492593,0.044594385,-0.08332024,-0.054899476
0.029664483,0.027604625,-0.06772007,-0.047055572,0.03213364,0.041975304,-0.080930844,-0.0532303
0.03452186,0.029288962,-0.069156274,-0.027199253,0.03347797,0.035758305,-0.07483248,-0.041797895
0.040966976,0.0622672,-0.095889896,-0.061054528,0.03602159,0.044228774,-0.08132602,-0.04877773
0.020246822,0.017839506,-0.063782275,-0.046169937,0.03249651,0.04265229,-0.081339516,-0.05376165
