inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,inf4,ylag4,inf5,ylag5
0.3279050338482184,0.8470200005576186,0.31382665087326284,0.8408485901726376,0.316129083389491,0.842411157613624,0.3218855586286717,0.8481408942962755,0.31388421725298166,0.8397656694450393,0.3177130595245945,0.8409863758327127
0.3300506139030869,0.4600968689260806,0.3119081082918108,0.4516919859206742,0.31240608509552226,0.46035084755360917,0.3394550530486695,0.4657477642530789,0.30558153459917803,0.48406848231954713,0.31162342995744624,0.4728503078284692
0.3399560413288799,0.5862854072745358,0.304138030318757,0.5915743792207948,0.315321424801822,0.592928202068558,0.34128598661749754,0.5846632099455618,0.30470400909537687,0.5881244237927915,0.3186085445802671,0.5852264339201735
0.33771762414947865,0.6349747499548787,0.2181681464815207,0.5967416929692695,0.23162335160470257,0.6323316695367925,0.34296778760707425,0.6347134339801486,0.21639577775694144,0.5990459416759326,0.24035042599728357,0.6396923353306438
0.33532366031772426,0.6264694187941814,0.286706686302616,0.6390388275558991,0.27622233033395704,0.6397115273715848,0.3204190507925724,0.6360001446581616,0.28610437882506345,0.6453107434809795,0.2734551580247544,0.6426373225078699
0.3751563998762637,0.5980253322518184,0.35689260805131917,0.6022733719021345,0.4264151428029907,0.5667036936266472,0.35998458459660204,0.5918161066142095,0.35335398710383104,0.5930047791590594,0.4145191912660686,0.5581064468426361
0.331501168181705,0.6718739372762039,0.30324970880766106,0.6576861426029064,0.3042613568333756,0.698314977422043,0.3160940582158214,0.6651644101500955,0.3067649538918129,0.6561943726932626,0.2988012900370324,0.6916813365819585
0.31224218319586305,0.8809249219984443,0.29990700626183575,0.8841932063682404,0.28006146495608447,0.846867138947867,0.3228433448512273,0.8918638483121817,0.3095008240815701,0.8946038806088026,0.28994935530875404,0.8540043145293686
0.3412731855733193,0.645908278320692,0.2572496834984239,0.6466227700257219,0.2903975988754119,0.6388027265083126,0.33677750538754364,0.6506828505307519,0.25729840212277105,0.6432067195445325,0.2764054395526586,0.6568146207276697
0.336850241054653,0.796563867498207,0.30060492480061957,0.7461903095295472,0.2607954958550256,0.7961315798767377,0.3305183528057786,0.79240444190725,0.30066243810831783,0.7462073627591754,0.260470739917705,0.7960481225517082
