inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,inf4,ylag4,inf5,ylag5
0.3837313837205963,0.8664851715912045,0.30964384319936755,0.8675005626155682,0.3470346954830402,0.863806329843192,0.4377971126754141,0.855677871845971,0.29733533202380324,0.8555200998109245,0.38755637388409436,0.864468762824478
0.34535027589302525,0.460621929286254,0.4737062993207999,0.4862325846636768,0.2656338080914846,0.5560464433160738,0.47700850587388216,0.4836278794350063,0.5339255856300561,0.4997142748435734,0.3564964203110679,0.559857985506313
0.31496255956549035,0.6118650098285596,0.31919640105548386,0.6424613578745677,0.324179209117877,0.5958688047678729,0.3506920884121887,0.5662838282311577,0.33957942738858804,0.5929415837373231,0.3467790695732759,0.5673298396231906
0.2870061448541764,0.6198819262368134,0.04404841829189593,0.6363215365466025,0.12145758897425596,0.6383395306691019,0.33611505471182684,0.6183494307999446,0.06132467262518215,0.6454449535700844,0.14140784351420252,0.6426204358821324
0.3870395424381872,0.6096909516950785,0.37156080844221,0.628844763995307,0.3104628156142486,0.6098800980761707,0.42223688768492706,0.5944753963630547,0.3769603218054304,0.6129536186111291,0.33746426641673505,0.592037992816255
0.42234975059219304,0.5732157376296709,0.5164486564655761,0.5783921573427244,0.5245277588108137,0.6396333779671031,0.47355593298019105,0.6100738643970703,0.5349043678039457,0.6094464496971272,0.54535018476557,0.6542270135698461
0.3726277283987779,0.6778511410549592,0.2591730746442383,0.677560360699013,0.25942916252698645,0.6576476509376461,0.37666296386170217,0.6760735472199031,0.26120915236162723,0.6734761386671422,0.2637063581813184,0.6523583071319068
0.28330699160721734,0.8678619568241177,0.3309162424058035,0.8616172441581391,0.3663166942082284,0.8672637936348573,0.3310883364500675,0.8727467344916169,0.37140822655656386,0.8647901753576974,0.46163836070580655,0.8567320897559656
0.3852922956733592,0.6474864432378091,0.5046292476821326,0.6472707522728782,0.42809796888106455,0.6377449201826317,0.4557502464040205,0.625014074563486,0.5176365977372288,0.6311641565251602,0.44471951609446686,0.6296754416277583
0.37823001020774205,0.8094319552763138,0.2680900499517248,0.7991277798653837,0.31343715010371176,0.8528359316522557,0.45355600231833026,0.8000367791827182,0.23736858753947748,0.7565921683488396,0.3327868629971155,0.8300353072453382
