0,1,2,3
-0.87650025,-0.106657505,1.7029856,0.22221583
-0.3531139,-0.8130325,-0.4602973,0.3912878
-1.1411307,-0.40165675,0.03998722,-0.58199763
0.20213544,0.54304904,1.0410335,0.13571179
-0.4959154,-0.056524456,-1.0016907,-1.0818703
0.6645281,0.5802806,-0.5237448,-0.5285864
-0.6787113,0.30040437,0.93028355,-0.665987
-0.7204598,0.14506412,0.77741146,-0.561236
0.5238914,0.13998067,0.21548127,0.44679868
0.55923456,0.6600217,0.40789825,-0.051197886
-0.8658752,-0.2628305,0.24237742,-0.38930786
-0.024481654,0.15985459,0.4577954,0.12333274
-0.040155828,-0.69605833,-0.61082274,0.5008823
0.36086822,0.20927608,-1.0235395,-0.58990073
0.2535274,0.37664908,0.25251395,-0.25983298
-0.31799987,0.038405657,-0.81459975,-0.82297254
0.06585795,0.09063667,-0.8205707,-0.5957382
0.49860585,0.517132,0.2554668,0.035379887
-0.85301214,-0.14780933,-0.007710878,-0.67134297
-0.52985656,0.07402688,0.761388,-0.17683244
-0.14505148,-0.07400578,-0.47755176,-0.34221017
0.67462045,0.28896093,0.41934162,0.57640314
-0.012740672,-0.80668694,-0.39593226,0.6155459
-0.33758008,-0.042904675,1.2114505,0.376274
-0.5135637,0.08281958,-0.46603733,-0.8381723
1.5114174,0.24985528,-0.40460926,0.73284185
1.2489579,0.5683517,0.39885455,0.605767
0.23186821,0.043305933,-1.0530134,-0.5194799
1.0007975,0.8997287,1.046018,0.3156181
0.67464,0.16346532,-0.8168763,-0.13804352
0.04221505,-0.7015418,-0.8909034,0.4378109
0.38298917,-0.21166119,-0.7786551,0.041087806
0.099902034,0.15102148,-0.7708979,-0.5703808
-0.33792174,0.30618358,0.41114768,-0.62499535
-0.5640524,-0.04791689,0.09664574,-0.4768573
0.41577667,-0.086765766,-0.6494341,0.13255095
-1.0632119,-0.12574881,-0.0029154979,-0.9041183
0.33085012,-0.11117864,0.6753095,0.7981628
0.5621485,0.011602402,-1.5739385,-0.3536284
0.20157808,-0.3541261,-1.5521039,-0.37008488
-0.5477658,-0.24449393,-0.23222415,-0.49061882
0.6941977,0.21677566,0.31798148,0.47472066
-0.14484122,-0.08747226,-0.9595209,-0.5666292
0.78936046,0.36149627,-0.24611191,0.034905553
-0.66091263,-0.29324946,-0.40475118,-0.4230168
-0.23196739,0.11646998,1.164754,0.2528658
0.06535643,0.16475803,1.2015872,0.52678925
-0.056329727,-0.3108511,0.75346524,0.72652435
0.14082319,0.24990469,0.07392877,-0.18239093
1.3398197,-0.01167196,-0.6180026,0.8171158
1.2277892,0.26052076,0.24971889,0.89085823
-0.8567859,0.08165902,0.13862695,-0.88585615
0.024452925,0.07191616,-0.6156111,-0.435681
0.7229522,0.62086636,0.32408932,0.022502065
-0.17152172,0.22930855,1.0668962,0.12159151
-0.48372036,0.15014839,0.1335764,-0.5893507
0.3839004,0.24770129,-0.24202777,-0.17604852
0.5535137,0.79402727,1.1808275,0.038442254
-0.39849222,0.30350173,0.69595826,-0.4847201
0.114619195,-0.8776144,-0.15386562,1.1204413
-0.82763445,0.047011137,-0.15108094,-0.93241346
-0.42096898,0.2266534,-0.10134786,-0.76604235
-0.8095455,0.32640785,0.80995965,-0.8421624
0.70198816,0.4732694,-0.1392713,-0.13261843
-0.052081466,0.10683286,-0.67746323,-0.63597953
0.11530894,-0.6693128,-0.54519254,0.672336
1.6472013,0.13706946,-0.45301807,0.93251944
0.44249082,-0.16060853,-0.3402854,0.32588005
-0.04140541,0.2971182,0.1052361,-0.36760998
0.2353229,0.4605047,-0.46641165,-0.6868464
0.18176228,0.11672801,-0.6885023,-0.48629177
0.2801922,0.4324612,-0.38508287,-0.5476055
0.37644953,0.46202332,0.50580084,-0.12390041
0.30426896,0.5915311,1.0686082,0.14600235
0.6816185,-0.37806407,-1.2450787,0.32373965
-0.8830365,-0.3175774,0.05495664,-0.5411446
-0.15513411,0.24982715,-0.23596306,-0.7934141
0.70480436,0.0826512,-0.71841097,0.05388975
0.69741946,0.31514722,-0.7962796,-0.33256173
0.5579005,-0.22222492,-0.7775758,0.42301494
-0.4046618,-0.08918619,-0.50610083,-0.61897707
-0.31925145,-0.13234323,-0.7899634,-0.720132
0.6575355,0.23674333,0.55975235,0.2884376
0.5265185,0.45464414,0.4048769,0.17496818
-0.34045506,0.41266364,1.8383696,-0.0074937344
-0.68267286,-0.050309777,-0.63146514,-0.9625622
0.3288815,0.08174509,-0.64845216,-0.2116195
-0.92061055,0.13295674,0.13313061,-0.8963015
-0.06975806,-0.05675137,-0.587577,-0.29178643
-0.4451037,-0.062761724,0.010982923,-0.45031404
-0.65239096,-0.07343912,0.42294496,-0.40970373
0.1969865,0.82926685,0.3262281,-0.9654224
-0.6644688,-0.061908007,-0.52085847,-0.76923144
0.48561347,0.1430617,-0.3339591,0.026928425
0.054856658,0.20268524,-0.591168,-0.6127677
-0.85006154,-0.2585597,-0.050964016,-0.47208214
0.69213444,0.44580978,-0.39486572,-0.16658938
-0.6274271,0.2937433,0.46292377,-0.813516
0.5280785,0.1699925,-0.38000262,0.03368759
1.1878605,0.73215395,0.36801916,0.34188712
