z,y0,y1,influence_0,x
0.2593714699484434,0.15333550173584262,0.13513990821417995,0.2777777777777778,0.1983977541580224
0.043361051161900255,-0.2583392176891585,-0.0028404133300557535,0.25,0.2628928517506738
0.5820303421266043,0.28824216140989695,0.3375386999773304,0.5384615384615384,0.6487429616707158
0.11251216781112139,-0.14199970223199296,0.25196221321256795,0.3,0.9777748019907059
0.6107767824971504,0.024409185699032082,0.5439825459905998,0.5294117647058824,0.7164754134330001
0.29638795829572706,-0.03270740598527345,0.26160901735486,0.3181818181818182,0.6902903953297161
0.8072521934111894,0.13388502438767852,0.7025212555877047,0.5714285714285714,0.47750646212115566
0.09483773491621972,-0.334782167791059,0.025301099574152122,0.2777777777777778,0.6384527367003133
0.7001003737955693,-0.08487128129902577,0.47905542015210123,0.6428571428571429,0.1095481855231134
0.932896023067255,0.15415360004393813,0.5867237802457095,0.21428571428571427,0.8008975063432863
0.8422088990986232,-0.0965954696000162,0.6205301728765268,0.625,0.9881039510308476
0.7999589844085812,0.03555946735534664,0.41683504223670126,0.3,0.12802576613454153
0.9728232940670574,0.19652406126,0.7714859522848346,0.5,0.8857998646128328
0.5360864234243254,0.13009708285571708,0.7405402224274178,0.4166666666666667,0.10734526153649171
0.5072328050573641,0.12300725709090136,0.38985858076160373,0.4666666666666667,0.02258089717404843
0.9548308572874987,0.01572025818418346,0.5244566128069322,0.625,0.11141008072132863
0.775696775963397,-0.10183995382296678,0.8124059353444504,0.5333333333333333,0.24533983465118614
0.5905558664700695,0.519635994669447,0.8735378963600233,0.5454545454545454,0.8545790980542384
0.1688780426825024,-0.25897809688687956,0.06736102072456875,0.6,0.010594959841800478
0.18339044112944902,-0.1425258235777013,0.15297518666727106,0.5,0.12460725038120568
0.03175320156246686,-0.2794791958715916,-0.14141992652846375,0.5714285714285714,0.29086675865087086
0.22962335064195538,-0.08707116985340697,0.31157605721956194,0.5384615384615384,0.539843781631056
